-915.921,-36.8785,-28.2179
0.311629,0.949791,-0.0280168
-0.950085,0.310987,-0.0250292
-0.0150596,0.0344181,0.999294
0,0.685362,4.28197,-2.04206
1,12.8536,114.652,-2.0429
3,0.947682,7.18176,-2.03285
4,1.99017,10.3209,-2.10397
6,18.1675,69.0483,-0.853765
7,2.15341,14.4507,-2.27503
8,4.01755,19.7692,-2.56696
9,10.6893,95.6646,0.512432
10,15.6215,73.8204,-0.454027
11,3.93199,25.4092,-2.76829
12,7.45473,28.8364,-2.78034
13,14.3142,88.6921,2.05285
14,17.5964,66.9092,0.766949
15,7.46904,46.9863,-3.33472
16,7.76134,37.2561,-3.11248
17,10.7605,96.2551,2.78227
18,14.4577,68.4018,1.18768
19,6.23665,56.6572,-3.65662
20,15.5387,59.1898,-3.57047
21,15.1394,93.6923,5.49136
22,14.9,70.4918,2.89703
23,13.9905,86.7409,-4.11657
24,15.7106,74.2895,-4.00417
26,17.5814,83.0207,6.89307
31,16.1215,99.7596,-2.38045
32,0.705354,4.27195,-2.04207
33,15.6497,135.04,-2.40878
35,0.977682,7.18174,-2.03287
36,2.02015,10.3009,-2.10398
37,20.1599,121.707,-0.0371452
38,18.3473,68.7682,-0.843761
39,2.19339,14.4207,-2.26503
40,4.08752,19.7291,-2.56697
41,11.2307,97.4142,0.531822
42,14.8176,68.9011,-0.432561
43,4.02194,25.3491,-2.7683
44,7.53463,28.7163,-2.77034
45,14.1921,86.0722,1.99352
46,18.1975,68.2387,0.786419
47,7.60887,46.7761,-3.31472
48,7.88126,37.156,-3.10249
49,11.0905,96.2149,2.77216
50,14.7579,68.6415,1.18752
51,6.40645,56.407,-3.64662
52,15.6283,58.6897,-3.55038
53,15.3288,92.8621,5.44149
54,15.0998,70.2117,2.88703
55,14.1598,85.8507,-4.07641
56,15.8903,73.8394,-3.98413
58,17.5601,81.4906,6.77345
60,18.2865,68.5278,-2.49368
64,0.715354,4.27195,-2.04207
65,13.0697,109.742,-1.95179
66,35.61,161.523,-4.86213
67,0.997674,7.17172,-2.03287
68,2.05015,10.3009,-2.10399
69,14.7627,87.6212,-0.0270513
70,18.5772,68.668,-0.843817
71,2.24337,14.4007,-2.26505
72,4.15751,19.7091,-2.56699
73,11.3794,95.8041,0.522158
74,14.9572,68.451,-0.412501
75,4.0919,25.2891,-2.75831
76,7.61456,28.6263,-2.77035
77,14.7232,87.3518,2.02303
78,18.4575,68.2685,0.786322
79,7.75879,46.676,-3.31474
80,7.98114,36.9959,-3.09249
81,11.4406,96.2846,2.78202
82,14.6366,66.9516,1.15797
83,6.60644,56.3869,-3.64668
84,15.738,58.2896,-3.53033
85,15.6989,93.0718,5.46131
86,15.1088,69.0716,2.8473
87,14.3092,85.0006,-4.03626
88,16.0298,73.2693,-3.95404
90,17.9605,81.9603,6.8132
92,18.5366,68.5376,-2.50377
95,15.8871,94.1798,-2.24902
96,0.735354,4.27193,-2.04208
97,13.4597,109.752,-1.96193
99,1.01767,7.17171,-2.03288
100,2.09013,10.2708,-2.104
101,20.3266,117.627,-0.0362205
102,40.8904,148.17,-1.84075
103,2.28335,14.3806,-2.26505
104,4.21747,19.659,-2.557
105,12.8567,104.933,0.569444
106,15.157,68.1708,-0.422504
107,4.18184,25.219,-2.75833
108,7.6945,28.5462,-2.76036
109,13.8175,80.3524,1.85503
111,7.90871,46.5659,-3.30477
112,8.09105,36.8758,-3.0825
113,11.1364,91.0948,2.63338
114,15.1475,68.1712,1.1875
115,6.7863,56.2067,-3.6367
116,15.8377,57.8995,-3.51027
117,15.9083,92.3216,5.41142
118,16.1818,72.7508,2.99604
119,14.4383,83.9505,-3.99605
120,16.1794,72.7192,-3.92396
122,18.3006,82.1001,6.83304
123,9.99694,81.9342,-3.38402
127,16.207,94.0596,-2.24911
128,0.745349,4.26192,-2.03208
129,13.8094,109.412,-1.95197
130,17.6441,77.9484,-2.34573
131,1.04767,7.17168,-2.03289
132,2.13013,10.2808,-2.10401
133,15.3223,87.2008,-0.0271453
134,41.2198,147.36,-1.83067
135,2.34332,14.3406,-2.26507
136,4.27744,19.619,-2.55701
137,11.999,95.3336,0.522055
138,15.3869,68.0906,-0.412564
139,4.26179,25.1489,-2.74834
140,7.77442,28.4461,-2.76036
141,15.6746,89.161,2.06226
142,19.5892,70.4476,0.815402
143,8.04857,46.3858,-3.29478
144,8.19092,36.7157,-3.0725
145,11.5066,91.4445,2.64316
146,15.1366,67.0612,1.16777
147,6.94606,55.8966,-3.61668
148,15.9173,57.3595,-3.48016
149,16.2182,92.2114,5.41134
150,15.5085,68.6613,2.83726
151,14.6379,83.3904,-3.96599
152,16.2186,71.7391,-3.87373
154,18.8516,83.2496,6.93258
155,10.2769,81.914,-3.38411
156,32.0028,114.596,-4.18956
159,16.5772,94.2193,-2.24927
160,0.765346,4.26191,-2.04209
161,15.4469,118.92,-2.12483
163,1.07767,7.16166,-2.0329
164,2.16013,10.2708,-2.10402
165,15.9839,89.1203,-0.0278385
166,19.4174,68.8773,-0.85416
167,2.38331,14.3206,-2.25508
168,4.33739,19.5589,-2.54702
169,12.3792,95.5833,0.521862
170,15.948,69.4202,-0.43308
171,4.34173,25.0689,-2.73835
172,7.85435,28.3561,-2.75037
173,16.085,89.6307,2.082
174,19.3277,68.5778,0.795943
175,8.20852,46.3257,-3.29482
176,8.29079,36.5457,-3.06249
177,11.6958,90.4343,2.61334
178,15.5572,67.7309,1.17746
179,7.16621,56.0964,-3.62681
180,16.0872,57.2193,-3.47019
181,14.6898,81.9525,4.81434
182,15.7585,68.6311,2.83718
183,14.7973,82.5803,-3.93585
184,16.2679,70.8491,-3.83354
186,18.8103,81.7297,6.81296
187,10.587,81.9938,-3.39424
188,32.2222,113.856,-4.16946
192,0.765341,4.25191,-2.03209
193,15.9675,119.6,-2.13518
194,37.1673,158.082,-4.77184
195,1.09766,7.15164,-2.0329
196,2.20011,10.2507,-2.10403
197,16.3139,89.21,-0.0279753
