-131.7,758.765,-12.1109
0.966757,-0.254448,-0.0252452
0.255263,0.966151,0.0373349
0.0148908,-0.042538,0.998984
0,0.21502,3.8063,-1.81779
1,4.86936,48.4594,-0.886022
2,9.83019,48.9206,-1.48597
3,0.429219,6.32596,-1.79995
4,1.4346,9.54416,-1.95264
5,7.57228,50.2556,-0.047332
6,3.5949,15.8221,-0.207883
7,1.34871,12.0144,-1.89479
8,2.52313,14.6624,-1.91698
9,1.17487,15.8163,0.061903
10,2.78496,15.8635,-0.107992
11,1.93461,15.5635,-1.70781
12,3.54481,15.691,-1.51778
13,8.24915,54.4456,1.2191
14,3.58484,15.8024,0.162133
15,1.94472,15.664,-1.1179
16,2.72474,15.6626,-1.31782
17,1.17465,15.7067,0.431998
18,11.0293,54.5207,0.909288
19,1.16473,15.6754,-1.02798
20,3.60502,15.8514,-0.967908
21,1.95452,15.6558,0.892113
22,2.7749,15.8642,0.632006
23,6.94605,46.3948,-2.22405
24,2.77498,15.8329,-0.867967
27,1.18485,15.7657,-0.658052
28,3.59499,15.8517,-0.587909
31,7.46122,49.5548,-1.20674
32,0.225038,3.81627,-1.8278
33,5.05956,48.5791,-0.886108
34,2.83493,15.8231,-0.487953
35,0.449235,6.33593,-1.79996
36,1.46458,9.53411,-1.95263
38,3.65492,15.832,-0.207887
39,1.38869,12.0043,-1.89478
40,2.58313,14.6623,-1.91697
41,1.2549,15.8362,0.0618931
42,2.845,15.8834,-0.108004
43,1.99461,15.5634,-1.7078
44,3.61481,15.6909,-1.51777
45,2.02471,15.7352,0.34205
46,14.9248,57.774,0.626824
47,2.01472,15.6639,-1.11789
48,2.79476,15.6724,-1.31783
49,1.22463,15.6966,0.422011
50,11.3099,54.8503,0.919029
51,1.22471,15.6653,-1.02796
52,3.66502,15.8513,-0.967903
53,2.01456,15.6757,0.892101
54,2.83486,15.8441,0.632029
56,2.83498,15.8328,-0.867962
59,4.80604,46.4086,-1.93425
60,12.2886,47.9663,-1.76492
65,5.22963,48.6188,-0.886127
66,9.87794,47.5706,-1.4448
67,0.479236,6.33587,-1.80995
68,1.50458,9.53403,-1.96263
70,14.1388,54.1542,-0.690114
71,1.42866,11.9842,-1.89476
72,2.63309,14.6422,-1.91695
73,1.30492,15.8461,0.061889
74,2.90503,15.9033,-0.108016
75,2.05462,15.5733,-1.70781
76,3.67481,15.6908,-1.52776
78,14.8229,56.6741,0.617767
79,2.06472,15.6638,-1.11789
80,2.85475,15.6723,-1.31782
81,1.2947,15.7365,0.431983
82,11.4898,54.83,0.919062
83,1.28471,15.6652,-1.02796
84,3.71502,15.8512,-0.967898
86,2.8949,15.864,0.632017
88,2.89503,15.8627,-0.867982
91,4.96607,46.4284,-1.93425
92,3.72502,15.8715,-0.587915
96,0.255005,3.79622,-1.82778
97,5.36918,48.3486,-0.88588
98,9.99744,47.2704,-1.44453
99,0.499269,6.35583,-1.80997
100,1.53456,9.52399,-1.95262
102,3.77494,15.8418,-0.207884
103,1.47864,11.9741,-1.89474
104,2.68309,14.6421,-1.91695
105,5.60231,50.2892,0.242461
106,2.95498,15.8732,-0.107986
107,2.10462,15.5733,-1.7078
108,3.73479,15.6807,-1.52775
110,3.76485,15.8121,0.162141
111,2.12472,15.6637,-1.11788
112,2.91475,15.6722,-1.31782
113,1.34468,15.7264,0.421996
114,2.94485,15.8136,0.252065
115,1.34473,15.6751,-1.02796
116,3.77501,15.8411,-0.967884
118,2.9549,15.8639,0.632023
120,2.95501,15.8526,-0.867968
123,5.14626,46.538,-1.94433
124,12.5682,47.7058,-1.75467
128,0.265005,3.7962,-1.82777
129,5.56956,48.5783,-0.886061
130,2.9949,15.8028,-0.487921
131,0.519253,6.3458,-1.80996
132,1.56453,9.50394,-1.9526
133,8.44378,51.1542,-0.0480311
134,3.83499,15.8717,-0.207905
135,1.51864,11.9741,-1.89474
136,2.73306,14.622,-1.91692
137,5.91394,51.2687,0.251641
138,3.01501,15.8931,-0.107997
139,2.15464,15.5832,-1.70781
140,3.79479,15.6806,-1.52774
141,9.19058,55.3041,1.23844
142,3.82485,15.812,0.162146
143,2.16472,15.6637,-1.11788
144,2.97477,15.6821,-1.31782
145,1.4047,15.7363,0.431993
